Disc Number,Track Number,Original Name,"Original Name Language (ie., ""es"", ""jp"") (optional)",International Name (optional),"Duration (""m:ss"")",ISRC (optional)
1,1,Cerulean Expanse (Title Theme),en,,01:46,
1,2,Overworld Theme,en,,02:58,
1,3,Raindance Theme,en,,00:12,
1,4,A Vision of Fire (Radio version),en,,01:03,
1,5,Dancing Tree,en,,00:10,
1,6,Pause Theme,en,,00:32,
1,7,Cave,en,,00:27,
1,8,A Vision of Fire,en,,01:03,
1,9,Inferno Theme,en,,00:54,
1,10,Wings,en,,00:36,
1,11,Riddle,en,,00:57,
1,12,Ecstasy,en,,02:22,
1,13,A Vision of Fire (Acoustic version),en,,01:10,
1,14,Awake,en,,03:00,
1,15,Shadowgate,en,,00:48,
1,16,A Vision of Fire (Orchestral edit) feat. Odin,en,,01:18,
